ID,ProfileName,Date,Review,Rating,Helpful,Colour
R1SLOMP0GS5N62,Ashish,10-12-21,Good,5,0,Blue
R3RX1CRBZI1H4B,Mudit Sinha,03-11-21,Product is great but Package was open like checked by someone in transitbefore delivered to us,5,0,Black
R2WBGJ2TS03ADO,pravardhan,11-02-22,Sound Quality & East to Carry anywhere.,5,0,Red
RAEKCWH7AEDWX,Amazon Customer,01-02-22,Boat is always the best.,5,0,Red
R1BV7LEQ6P3I2G,GOPI KRISHNA,22-03-21,Value for money and sound quality is amazing 👏👌,5,0,Blue
RPUP8K3JQP8LW,JaiPrakash Singh(J.P.),24-10-21,Nice Product,5,0,Blue
R3KCC58AHYQZZQ,Danny,20-11-21,So cute 🥰,5,0,Blue
R2J4R7ISXP8EPR,AMAL BABU,08-11-21,The battery life is awesome,5,0,Black
R3HV83WZRWLPI6,Vijay,13-10-21,A lovely one,5,0,Blue
R1RYE9H2J17TWC,Adnan khan,27-02-22,Good deal but price should be bit low,5,0,Blue
RVZJ47T8W6UDL,Mohit kumar,02-01-22,Good for price,5,0,Blue
R2TPMYWZC9TXU8,anupam biswal,10-11-21,Superb powerful stuff,5,0,Blue
R23ULRQ7UCT9WR,Shakeel,20-10-21,Boat is love,5,0,Black
R1P77EEP5NBMAZ,Biswajit sarkar,15-11-21,Just wow 😯😯,5,0,Red
R2XHU1NZ7SGRHJ,Rajan Ramamoorthy,21-06-21,Excellent product,5,0,Black
R3ABIJ4HZ46FRV,Arghya,31-01-21,😘😘🤘🤘,5,0,Red
R3KWS8JE8S948A,Amba enterprses,01-11-21,Boat best quality Bluetooth speepkar,5,0,Red
R3A58ELA871C4Z,Joy Samvab Chowdhury,14-02-22,The best !!!,5,0,Black
R3OL528QMW4MCC,Daisy,01-11-21,100% recomended,5,0,Black
R2CQLO1S13G5DC,Saket,09-03-22,Good one.!,5,0,Blue
R2657N0PPW0U03,Amazon Customer,23-12-21,It’s good,5,0,Blue
R3DL4YRL01XHBM,Mrs. Sharma,24-02-22,Good product,5,0,Black
R1LFOZSEEFBA7D,laxmi,28-12-21,Excellent product,5,0,Blue
R3EZL4RX5E3Y20,dipesh,17-11-21,Very Very Good Product in this price range...,5,0,Blue
R2CCRXJMPDYGGU,Amazon Customer,14-10-21,best speaker you can get at this price point,5,0,Black
R3ILWIQ4OLNWJ,Mounisha,13-10-21,Awesome one,5,0,Black
R101YDLMPFW9L1,AS,24-12-20,Quality of texture and ofcourse the sound quality. the sound doesn't break even at max volume.,5,0,Blue
R3N6FIZ7OF0PDR,Ravi patel,25-02-22,Best with this price range... Really good,5,0,Red
R3J33MHA1PNTNK,Moon,23-01-21,Not brand new,5,0,Black
R11O62VHMZ6QO3,Vimaldas v,27-10-21,Great product for this price,5,0,Blue
R249857OX8OFMO,subhankar pradhan,06-11-21,Excellent,5,0,Blue
R3FI12FV4T51FF,subhadip,28-01-22,A very good product within a resonable price,5,0,Red
R2F7N21XTP6Y3B,PSR,21-11-21,Awesome pdt,5,0,Blue
R2ENKN5OLV7PWA,Santhosh Kumar K,17-02-21,Works like charm,5,0,Red
R27NRN1LSGAZLS,Naveen,18-02-22,Super bass quality product,5,0,Black
R2INWQSMC01WYA,Ragini Jha,07-11-21,Boat speaker,5,0,Blue
RH5EE90VLO27C,Suyash Dubey,21-10-21,Best at its price range.,5,0,Black
R1JNSDLHR62BEL,Rhythm vaishnav.,23-02-22,Overall nice product.,5,0,Red
RGCYJVHX4V5H6,AnnJo,20-11-21,Good buy,5,0,Blue
R3PLLTC5WR4PG2,pradip,01-02-22,Paisa vasul,5,0,Black
RI532LH6XH0E4,P K Ghosh,28-08-21,Good,5,0,Blue
R1EGIC3WR7E1V8,Y.TIRUPATHI RAO,27-11-21,Nice,5,0,Black
RVZPD7XNHYDJ0,Amazon Customer,17-11-21,Excellent Loudness,5,0,Red
RJP5UDR9V55N3,Manoj,09-02-22,Awesome product,5,0,Black
R1MCKVWIO06169,Kunal Sharma,11-02-21,Good deal,5,0,Blue
R3OLRRUXDBYN2N,Debjit sutradhar,30-03-21,"It's totally "" value for money"" product..",5,0,Blue
R3AAFHOOGA8IZA,Mohan singh,19-11-21,Staylis,5,0,Blue
R25L0HK8NSM5UH,Raj singh,07-03-22,Good product,5,0,Black
R246FAE8V462IH,Pavithra,01-02-22,Good sound quality...,5,0,Black
R2BX43LI2FC08R,Monugoyal,19-04-21,"superbb Sound qaulity, battery back up and  perfect look",5,0,Black
R1TASURC5NEN5M,Tahura Khan,05-02-22,Easy to carry.,5,0,Blue
R39LV2D6GJMRHJ,Isha Pragati,20-01-22,boAt Stone 180,5,0,Blue
R3VY7IH59M7XO2,Abhishek kumar,18-12-21,Good Audacity.,5,0,Blue
R5DB0EC8UCNSZ,Abhishek kumar singh,10-12-21,best,5,0,Blue
R1ARSYMVSCWH62,Mitti,03-02-22,Worth a try,5,0,Blue
R3IGJHKYIU3TUU,Srikanth d,22-03-21,Blue colour is looking good..,5,0,Blue
R1W8MZQGCMGOI2,prashanat,14-11-21,5 🌟🌟🌟🌟🌟,5,0,Black
R32U5XTR46VF78,Nikunj Joshi,30-11-21,Nice product,5,0,Black
R3GURE4J65M3Q7,Pawan Kumar,13-11-21,Almost excellent product it is.,5,0,Blue
RXNQU4SBJFNAM,Rishi devkar,16-01-22,Sound quality,5,0,Black
RJBMV9O5NO05T,Azraa F.,05-04-21,Good product,5,0,Red
RA0ASU3QFU8CJ,Dhaval Ganatra,11-10-21,Enjoy for work from home purchase good durability and clear sound.,5,0,Black
R2A6PH6ISKCG3I,Ayshvaryaa S,13-02-22,Worth for its price,5,0,Blue
R1HW15A4AVFMRF,Sanjoy,10-02-21,nice product,5,0,Black
R11WYTDW75H2L4,RUPAM,17-10-21,Best 👍,5,0,Red
R247E74SLM1R5O,David T Sangtam,05-10-21,Disappointed by battery life over all good,5,0,Blue
R3IXM14VOM12FO,Ramesh Kumar RS,27-08-21,Good,5,0,Black
R28JPYG6QL4X11,Rahul Jejurkar,24-01-22,Very nice. I Will recommend to go for it.,5,0,Blue
R8YF5W4S1FLXE,shyamraju,06-12-21,Sound not quality and battery back is very very weast,5,0,Blue
R8YU9NMEWLVJ0,Anwar,19-10-21,Nice one,5,0,Black
R3ENSQVWMFYU83,Ramanarayan behera,06-11-21,Boat brand product is very. Nice,5,0,Blue
RZ8UX6696B8XX,Murugan. A.,20-02-22,"Good Product,good bass all sounds super Amazing.",5,0,Black
R3M6IRELB4K76R,vaishnavi sreekumar,16-02-22,Great Deal ♥️,5,0,Black
RRKIUMMTWM9NK,Vivek Sharma,27-11-21,Nice,5,0,Blue
RGJ942OPRXSL4,Gowtham B K,08-11-21,Good bluetooth speaker,5,0,Black
R2BZPUA5AYLRUE,Subhajeet Patra,31-12-21,Yess the bass has no doubt,5,0,Blue
R3FXTF06LRG7QC,Gaurav,16-09-21,Quite good,5,0,Black
R1BYCELP5HN5YR,Shiva Chandel,12-12-21,Sound Quality and Battery Life is awesome in this price rate....,5,0,Blue
R3GX6ZO1K246HJ,Shana shahabana,11-02-22,Good one,5,0,Red
R3TLA2UXHZ5OFU,Honest Man,08-03-22,Good,5,0,Black
R2N1SFTYDGEOPV,Naman gupta,25-01-21,Sound quality was fantastic..,5,0,Black
R30WBO71K3D0AD,Mamta Jain,31-12-21,Good product,5,0,Blue
R27MCKU2DZWP9S,vikas kushwaha,16-02-22,Niceee,5,0,Blue
R1TIDR5T1QJ37Y,Koushik Nag,15-09-21,Nice sound with bass.,5,0,Blue
R3W36U9C98T89L,Mahima S.,17-11-21,The best!!! Budget Friendly!,5,0,Blue
R3EDVVBOU8DYE7,Ravi Shankar,25-01-21,Calling quality through this speaker is very good.,5,0,Black
R1714UFOH1JXH9,Mote sandip,10-01-22,Good qiliety,5,0,Blue
R562ZDX32N2GN,Priya,05-01-22,Worth for the money,5,0,Blue
R11T5YMRT49VDH,Dhanashri,06-12-21,Super product,5,0,Blue
R25PRMII76UPPP,Mahesh,22-09-21,Good choice in budget..,5,0,Black
R1Q9TJM7AQYZH,shana,06-06-21,Nice product,5,0,Blue
R1CP54HZKOWGYZ,Sandeep Gupta,12-11-21,Full on !!,5,0,Blue
RRX12ZG4I5K7F,Govind,11-11-21,Good sound,5,0,Black
R7ZJX8FH30OI6,Deepika,12-03-21,Quality is good,5,0,Blue
R33US34OHOKF9N,Sanjit Kumar Jena,08-01-22,Nice 😍❤️,5,0,Blue
R4Q0ET78PEQYZ,Rahul B,20-11-21,"Good quality, great voice quality ..perfect",5,0,Blue
RCFGKU4E28GF1,prabath,07-01-22,Not up to the mark,5,0,Blue
RJ0WRMJH9DOV7,Shivang raj mittal,10-10-21,Nice product,5,0,Black
R227Z7K2KUSK18,PRAVIN NARAYAN KUMERIYA,26-03-21,Wonderful,5,0,Blue
R1R1Q1EHYHW93E,Thilipanraja,27-11-21,Thilip,5,0,Black
R8OUQ6U7TAITG,Raj,07-03-22,Sounds like,5,0,Red
R1JNY285FQP18I,pratik p.,18-02-22,Superb sound.. blindly go for it!!,5,0,Red
R2TICC7X43ZWXC,Bhimal,12-01-21,Excellent,5,0,Blue
R255QTV7NZZM0V,Ganesh,30-03-21,Sound problem only,5,0,Black
R127H6ZYFN76N7,Kaushal,15-11-21,Beauty with quality,5,0,Blue
R3FAWCMQVU9KHW,Pooja ,10-10-21,Thank you Amazon for delivery of this awesome product one day before.,5,0,Black
R3OI09UUI4KVG3,Suman,20-10-21,Great product,5,0,Blue
R3O8TDIWW4KDG,Tapovardhan,13-11-21,Fantastic choice,5,0,Black
RM0ZPELFTZHDC,Vipul Sharan,05-01-22,Good product,5,0,Black
R1BF441H31B0QR,Rajesh Chhangani ,02-01-21,Sound quality,5,0,Red
R1AWRVF4GA64H8,bodhi,28-01-22,Worth to buy,5,0,Blue
R21ZZ4K0U31ACF,anup pandey,15-01-22,Superbbbb quality,5,0,Black
RAD3FJV913BY6,Akhil mohan,20-12-21,Its awesome no words. I like it. Looking so cute 🤠,5,0,Blue
R2UID286LZRWY6,Arun Sharma,09-12-21,Its awesome..,5,0,Blue
R1I9LJJ688285H,prashant kumar,22-12-21,Good Product,5,0,Black
RUBPWG7N6Z20R,Nikhil dadhich,25-12-21,Great product,5,0,Black
R3GLJVYD1VAYUH,Kishor,04-03-22,Worth of each penny.,5,0,Black
R2DEU0YCAVGFQX,Amazon Customer,12-02-22,छोटा पैकेट बड़ा धमाका... Product is too good in this price range.,5,0,Red
RSD8TU5BD2L4J,Priya saini,06-01-22,Nice bt. speaker,5,0,Blue
R1FOLBHVFQHO6G,Man Mohan,17-12-21,Sound and battery life 👌,5,0,Black
R2646IDLX0KMW,Vishal,18-10-21,Sound quality is good,5,0,Red
R8EU0E88RBPN0,Debalina Dey,03-06-21,Awesome product,5,0,Red
R3CW6S5K64SXQG,Selvimuthu,01-12-21,This is one of the best and reasonable product . No negatives,5,0,Black
RCI1157Z0QN73,Ajay Kumar,21-07-21,good sound quality,5,0,Black
R1KQ0RPRNTVO69,Monica ,08-02-21,Good,5,0,Red
R17J2DZCB0VIO5,Ayush jangid,22-12-21,Good product,5,0,Blue
R2O7FLNY9V5DVH,gurpreetsingh,19-09-21,Very nice 👌 Product 👍👍,5,0,Blue
R3LCA0K1TO5JNC,sagar chandane,09-11-21,Best speaker.  value for money. Sound quality is best.,5,0,Black
R1P8KH0UFPGPWR,Ramya m.,11-09-21,Great speaker,5,0,Black
R31G900EP71YON,somnath chakraborty,07-11-21,boAt Stone 180 5W Bluetooth Speaker is very good.,5,0,Red
R21L8TCQE9CFOT,SIDDHARTHA.MAJUMDER,18-07-21,Nice..,5,0,Red
R1AM80TIF654IP,Harikrishnan ,12-10-21,Awsome Speaker,5,0,Red
R3QPDSAWJT2FS5,Annson Mathews,31-03-21,Auto off can be annoying,5,0,Black
R24B9QPRVB08CC,Vibha patel,09-01-22,Nice,5,0,Blue
R2750NKL2D098O,Noor Sayed,05-02-22,Very nice product,5,0,Black
R2GNM75TIDUBDV,Mohan R,14-02-21,Excellent Product,5,0,Black
R1LRWBG8HP2MNT,Muzahid pathan,18-10-21,Nice product sound quality is better,5,0,Black
R3R2FCMNOIRL63,G.Harish Kumar,08-11-21,Great product!,5,0,Red
R1S45VWFOBHJFA,Varun kashyap,07-03-22,Boat is dope 🔥🔥🔥,5,0,Black
R3QEJM4HK9GR4M,Darshana Hadkar,03-09-21,Nice Product,5,0,Blue
R1B4Y6OXLBJ9V6,Ayan Banerjee,07-12-21,Good one,5,0,Red
R2S6T6JSHHFYF8,Gurjeet kaur,31-10-21,Good product,5,0,Red
RFMZJ6O9XVZE,nishanth,24-01-21,Very gud bluetooth speaker,5,0,Black
RKFF7H0TFRHSV,Vasanti  Avinash Raut,07-01-21,Best,5,0,Blue
R3CBWA9GSNMMW0,Samudhayaki,31-03-21,Good,5,0,Red
R1NX9QEP0MN17K,Pallavi Tamang,07-02-22,Very good product,5,0,Black
R1OL5F9MD4WQS3,Nikhil Chaudhary,09-12-21,Sount is good but batter is little bit short,5,0,Black
RCAZGIOBEPGDG,jayprakash mahilane,02-12-21,Best and Best 1 Indian,5,0,Blue
R3MQ52Z6WOFYCS,madheer kumar,24-10-21,Nice handy product,5,0,Red
R2CG0E9WU3QV50,Abid Ahamed,15-04-21,Nice,5,0,Red
R2NSJA12JUDLC2,Suvendu panda,19-11-21,Beautiful product,5,0,Black
RSIWRY7CRLW1K,Mahroj khan,08-07-21,Good,5,0,Black
RCTHMVGXYEQX4,Shruthi janardanan,30-12-21,Nice one,5,0,Black
R2E3XTR6GZ2KDS,Mangal Singh,14-12-21,"Value for money. My first delivery was defective, however they have replaced it within no time.",5,0,Red
R9PKY3DRJ70TB,Sachin,10-11-21,Amazing sound quality,5,0,Blue
R32EM5KIBNB9Y0,Shubhit,21-08-21,Bass is best,5,0,Blue
R1YD7WERKJGK38,Pratim choudhury,09-03-22,Beautiful,5,0,Black
R20N3K955CF5GH,Himanshu Raut,03-11-21,You can't go wrong with this,5,0,Black
R12E669NK24OFX,Srishti Pradhan,03-02-22,Awesome product. just loved it,5,0,Black
R1TRKNFKCZG92D,Mukesh Rana,12-01-22,Sorry.🙏,5,0,Blue
R13INL363XG2VI,raja prakash,10-12-21,Worth full product,5,0,Blue
R2VGTR57PNJZBN,Shobha Dattaram mane,10-02-21,This brand is very nice,5,0,Black
R99VVVNCXH0S1,Dheeraj dadsena,16-12-21,Awesome,5,0,Black
R3JO2B5SP16P3K,Prasad.s,23-02-21,"Super sound quality, value for the money",5,0,Red
R15O6SNTR380QJ,Daya,31-12-21,Worthy,5,0,Red
R149V8BW7GKZJA,Shaik abdulla,02-02-22,Good product,5,0,Blue
R1HXUW5QUS4KJX,Ganesh Shankar,18-12-21,West,5,0,Black
REJKE02UK2EZG,Deepa Shetty ,14-11-21,Boat Stone 180,5,0,Black
RGSGPE5SH7C9S,Manoj,12-10-21,Nice,5,0,Blue
R2JVQ5X0TIQ0RC,Ankita Das,16-02-22,Just awesome product… value of money… ❤️❤️,5,0,Red
R105W1MAOLQ3YS,Devansh,08-12-21,Best! I recommend you to buy it.,5,0,Blue
R25A9GAQPBH2M4,Taibu,20-07-21,Nice product,5,0,Black
R1XZ61AE6NZHL0,Ipsita,16-03-21,Great purchase,5,0,Red
R1FROESREAQ10P,Balamuralikrishna,18-02-21,Nice,5,0,Black
R94O5MIQZ0LA0,Rajeev,24-12-21,Good product,5,0,Black
R3DS1FB09K4J13,Yash tomar,14-10-21,Best product,5,0,Black
RHZ95B3LYFFSE,Lahari,11-02-22,Awesome product.its above the exception,5,0,Black
R1YWAZ92L4O4AI,Dinesh hindalekar,13-10-21,Value for money,5,0,Red
R5QX2H8VJRYM1,Umesh kumar,31-01-22,Awesome,5,0,Black
R1D72M5LG7D9OF,Akash,26-01-21,Boat 😘😘,5,0,Red
R2LBUPMQDLVTN7,vijaykumar,06-01-22,Boat stone 180,5,0,Blue
R3BFWKSF5TCELY,Prapti Sarkar,08-02-21,Goood quality,5,0,Red
RN6VH7FZ4V46D,Eddy & Daddy Gallery ,21-01-22,❤️❤️❤️❤️,5,0,Blue
RQ9M0590EWDNR,Prasanth  K a,17-12-21,Very gud product.nice sound and battery life is longer.so go for it .it's worth of money 💸,5,0,Black
R3AXCBPZ21JH3S,Binoy baisnab,27-12-21,Good,5,0,Blue
R1U3CR5M6FOGDL,Himanshu,30-01-22,👍🏻,5,0,Black
R34YUT55ML7XO1,Ranjit Lakhara,18-10-21,Expectations fulfilled 💫,5,0,Black
R2S0G8J3QAEKXX,abhishek,21-09-21,Owwsame product 😍,5,0,Red
R1YEYR0KRXA199,Gowtham Raj,01-12-21,Good one,5,0,Blue
R1EXKNJZSM3CAF,Shivam,18-11-21,Sound,5,0,Red
REAK7F7G4ZKMW,Vandna B.,26-01-22,Very nice profuct worth for money...,5,0,Blue
R2W77OYR8PMUGI,Vishnu M S,19-11-21,Very Good product,5,0,Blue
R3FRGB6S49SG8D,Anish sharma,17-12-21,Nice speaker,5,0,Red
R1P9UO85EJKH8P,chandan Chakraborty,14-11-21,👍😍👍,5,0,Red
R31VJN1M1NCDFS,Rohit,09-01-22,Good Products 👍,5,0,Black
RS3N1QDKMWB2,Hemant Kumar,07-02-21,5w sufficient enough in 10*10 Room,5,0,Blue
R1IAJK5ZZBEBUY,Payal,29-10-21,It's to good 👌,5,0,Blue
R1HLNTMFZ9YTQD,R,30-03-21,Vry good 👍🏻,5,0,Blue
R12AIDD1TPOPTU,Pavan Kumar Utalapati,09-01-22,Awesome 👍👍,5,0,Black
R1VSTREJ46YB55,Neha Agrawal,07-03-22,Amazing,5,0,Black
R1ZTS8BWUP6K4C,Shivani,02-01-22,Really good and genuine product,5,0,Blue
R2R8P8WW25B0EP,aatish,21-11-21,Superb sound quality👍,5,0,Black
RF8ZG9R11TFO0,Mohammed Midlaj,11-12-21,Sound quality super and battery backup,5,0,Red
R30X2MO5E4LDZ9,Samyuktha,05-01-21,Good one ..go for it,5,0,Blue
R15FUVVXIZWNGI,Varun Ramu,10-11-21,Good to use and easy to carry out,5,0,Black
R2XV5U89MTODAU,oshin,17-10-21,"Best, no negatives to say👏",5,0,Blue
RA1ES9IZWK2R9,Sandeep rawat,27-01-21,Awsome,5,0,Red
R1RVMLZ0XA59KO,Mathew Simon,15-12-21,value for money,5,0,Black
R2ULDHAG31EVK8,Nitin,10-10-21,Awesome product by boat value for money,5,0,Black
R3RZQEHIMLKTZU,Ramesh Chandra Sahoo,23-01-22,wow,5,0,Blue
R12OQZVEUR2XYA,Rahul Khangwal,18-12-21,Awesome👏👏👏....,5,0,Black
R3QLVKWU70R2Q1,Sonu rai,19-10-21,The sound is awesome,5,0,Black
R2OWCAQ9ABXEWL,Premila,14-12-21,👍,5,0,Blue
R1ZR0ICWT6NH9W,Sumit Garg,04-02-22,Must purchase,5,0,Blue
R20530HWX0NR3,Anurag Singh,17-02-22,True Value Product.,5,0,Black
R2R4JZ6W019N0W,Sanjay Singh,28-10-21,Excellent,5,0,Black
RKBMWKCDQ0LQQ,Vamsi,22-02-22,"Super , 👏👏",5,0,Blue
R2WJMXEMOGF6ET,Avi,22-01-21,Nice,5,0,Black
R1KLG993T1KJNO,Sanskriti G.,10-02-21,Better than expected,5,0,Black
RWRLJW99N23B8,Amazon Customer,28-02-22,Good,5,0,Black
R1MRAGXVCCGPK5,Gurveer,26-11-21,Loved it,5,0,Blue
R2S7N44UQTAJ09,faisal farooqui,25-01-21,Nice,5,0,Black
R1EV3GEOB7ATLB,Deepa Kanyal,13-01-22,Excellent product,5,0,Blue
R2RRIQZT76BDG1,sudhakar,08-02-22,Good,5,0,Blue
R1RTS3T4XKAOP9,Timir Ghosh,13-11-21,Nice,5,0,Red
R8ACE0JS4L8ZI,Anurag Singh,13-10-21,Great deal,5,0,Black
RX44IGAM9EQQA,Subhrajit Bepari,16-01-21,It’s really nice,5,0,Black
R3W0L27WOY75IR,Vinayshukla,31-08-21,Very osm device,5,0,Blue
R2PNXDMXM8W5UK,Praveen Kumar,06-02-21,Awesome product,5,0,Blue
R3AKHEU1NI8GZC,AKHIL,14-11-21,Good quality,5,0,Black
R3G8J5MK3V6Z6M,Ramchandra Neupane,02-02-22,Nice,5,0,Black
R32YA71ZSZJ9I6,Upendra chary,03-03-22,All good,5,0,Black
R22U43SUQY2SJJ,Raison luiz,18-11-21,Good,5,0,Black
RM6TTIW6LK4JO,Joshwa Martin,23-02-22,Best one,5,0,Blue
R3HYZYDD6EXQ8B,Devendra Mani Tiwari,23-03-21,nice,5,0,Black
R3PXAHV34ZAPL9,Mohammed abdul samad,21-01-22,Good product,5,0,Blue
R3KLNR50ZZ5F6L,Shubhra KS,24-10-21,Awesome speaker..,5,0,Black
R317NIVFK6T0JZ,Ramjan ansari,03-11-21,❤️,5,0,Black
R58TD4OWJ83B7,Dinesh kumar,13-11-21,Awesome,5,0,Blue
R397HO7VPU7RKU,Shahid Dayer,29-01-21,Plug to nirvana,5,0,Black
R3BIU5VAI2CSSH,N.somaraju,14-02-22,Good condition,5,0,Blue
RHNWP52BPMUPK,Raje,16-11-21,Worth for money if u r searching for only enjoy the music this also a best option,5,0,Black
R1CRSZGYI27SNH,Subham Das Chowdhury,28-01-21,Awesome,5,0,Black
R1EIV0FXA3SX0J,Diyotes,18-12-21,Awesome,5,0,Black
R2FJP0DN5IIS9E,Divy Deep,03-01-22,Amazing product,5,0,Black
R2RPS5SOAU5RBD,Ronakkumar Darji,30-03-21,Great,5,0,Black
R3MPI1TZH4J6ZY,Puja,25-10-21,Very nice sound quality,5,0,Blue
RAG92YKR3W5WW,Pattabhi Naresh,31-08-21,"Easy to handle , connet and disconnect  . We can carry any where we want",5,0,Red
R2EXH818MV3UV5,Nandu,09-03-21,high Sound with clarity,5,0,Black
RUJ2J1ZOLPOEL,Jeney,14-11-21,Bass quality is fantastic,5,0,Red
RGEKPKHMGT9AB,Suraj,08-01-22,Good product,5,0,Red
R3ECWIKU8RZDJH,Amazon Customer,31-12-21,Osm music 🎵 and long time battery 🔋 I love boat,5,0,Black
RXXFPLQQ1PKWB,Gopal shinde,16-12-21,Awesome speaker powerful bass 3D sound good battery lifebackup,5,0,Black
R24JL360ECHBWO,Amazon Customer,22-10-21,Awesome product .,5,0,Red
R3JKE5XINK1IV3,Macdon,08-01-22,Best speaker I have own on  reasonable price . No regrets on purchase.,5,0,Black
R1U7GBB47WX8US,Abhijit Shome,03-02-22,Nice product,5,0,Blue
R2WFW3ABHH0TH0,Subha Das,13-11-21,Good quality,5,0,Black
RMYX4SJ8KCJX4,Fayiz,20-10-21,nice,5,0,Black
RXNC47D3OLW7B,B kumar,10-02-22,"very nice ,sound quality also good. For One room its is sufficient",5,0,Blue
RGF0QKVCH84UR,Mahesh,01-01-22,Good looking portable device sound quality very good,5,0,Blue
RZ7DF3ZEHXXJG,naresh shilpkar,07-01-22,The quality of product up to the ❣️,5,0,Red
R1MA47ES0L3Q3V,Shalini R Maurya,09-11-21,Awesome,5,0,Red
R31SL8N5B22LNL,Varun Kumar,29-12-21,Good product 👍👍👍👍👍👍👍👍,5,0,Blue
RCS0VW1G1DSMV,D.PRASATH,11-10-21,Wonderful product,5,0,Red
R31Z1RH5LOZPVI,Chandukuntigorla,16-02-22,Excellent super,5,0,Blue
RRNXQI3UPQZPQ,Amar,15-02-22,Very nice product,5,0,Blue
R8UCVTIG7TPFH,ALOK KUMAR  BEHERA,05-02-22,Bluetooth Connectivity is not Good,5,0,Black
R14CGLBXEQMF3V, kiran ,21-12-21,Changed Bluetooth,5,0,Blue
R1P0BGU5FRNA3,Kuldeep singh,26-12-21,Saund is good क्वालिटी,5,0,Blue
R3JO3JGW7YEUVM,Surjya Nayak,15-09-21,Finishing,5,0,Blue
R1MECJV8HCVHGY,Vijay kumar singh,13-10-21,Nice,5,0,Black
R2QRZSNKIWBWCX,Saran s,19-04-21,Value for money,5,0,Black
RE8RITICIE37I,Rimjhim Sahay ,11-11-21,Sound quality,5,0,Blue
RK8U26FYVAW79,Archana,14-10-21,Value for money,5,0,Blue
R2FPMA3BEB2GK0,Nanda Krushna Das,26-01-22,Amazing,5,0,Black
R36VFKCPUR2RY2,buddhadev Takri,12-01-22,Awsm speaker 🔊,5,0,Black
R2WZOC33BJUKJV,Vikas soni,05-03-22,Good,5,0,Black
ROIFL0GLY1XCS,Santosh tiwari,01-01-22,About this product  no words to say,5,0,Black
R2K3M8KG72IER0,Shartaki Sadhukhan,01-02-21,Value for money,5,0,Red
R1TM70RRXURZKW,Narendra Kumar,14-10-21,Nice,5,0,Black
RVW7M3YYXFALU,Mahadev Das,10-02-22,Good Product,5,0,Blue
